Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date,Sales,Net_Amount,Profit,Month,Year,Weekday
ORD1002,2025-06-30,Neha,neha82@gmail.com,9829008196.0,Delhi,Delhi,Chair,Furniture,4.0,1999.0,0.0,UPI,Pending,2025-03-07,7996.0,7996.0,1599.2,June,2025.0,Monday
ORD1003,2025-02-03,Rohit,rohit45@gmail.com,9280491167.0,Pune,Maharashtra,Watch,Fashion,5.0,4999.0,20.0,Card,Pending,2025-09-02,24995.0,19996.0,3999.2000000000003,February,2025.0,Monday
ORD1004,2025-05-06,Amit,amit6@gmail.com,9943310925.0,Jaipur,Rajasthan,Mouse,Electronics,3.0,1999.0,5.0,COD,Returned,2025-08-05,5997.0,5697.15,1139.43,May,2025.0,Tuesday
ORD1007,2025-02-10,Rahul,rahul82@gmail.com,9517780193.0,Mumbai,Maharashtra,Mouse,Electronics,3.0,499.0,20.0,Wallet,Cancelled,2025-02-10,1497.0,1197.6,239.51999999999998,February,2025.0,Monday
ORD1008,2025-02-17,Rahul,rahul71@gmail.com,9789375429.0,Lucknow,Up,Mouse,Electronics,4.0,9999.0,0.0,Card,Returned,2025-02-17,39996.0,39996.0,7999.200000000001,February,2025.0,Monday
ORD1009,,Rahul,rahul99@gmail.com,9552649559.0,Mumbai,Maharashtra,Bottle,Home,2.0,1499.0,0.0,Wallet,Pending,,2998.0,2998.0,599.6,,,
ORD1010,2025-04-10,Rohit,rohit96@gmail.com,9700116928.0,Jaipur,Rajasthan,Mouse,Electronics,1.0,,0.0,NetBanking,Delivered,2025-04-10,,,,April,2025.0,Thursday
ORD1011,2025-01-11,Neha,neha22@gmail.com,9580304152.0,Jaipur,Rajasthan,Chair,Furniture,3.0,999.0,0.0,COD,Pending,2025-01-11,2997.0,2997.0,599.4,January,2025.0,Saturday
ORD1012,2025-03-03,Vikas,vikas46@gmail.com,9551158398.0,Jaipur,Rajasthan,Shoes,Fashion,3.0,999.0,5.0,COD,Cancelled,2025-09-03,2997.0,2847.15,569.4300000000001,March,2025.0,Monday
ORD1015,2025-03-17,Rohit,rohit6@gmail.com,9643353842.0,Lucknow,Up,Bottle,Home,5.0,,5.0,Card,Returned,2025-03-17,,,,March,2025.0,Monday
ORD1016,2025-03-31,Sneha,sneha86@gmail.com,9125254427.0,Pune,Maharashtra,Laptop,Electronics,3.0,4999.0,20.0,NetBanking,Pending,2025-09-04,14997.0,11997.6,2399.52,March,2025.0,Monday
ORD1017,2025-01-12,Vikas,vikas12@gmail.com,9498228945.0,Jaipur,Rajasthan,Watch,Fashion,1.0,4999.0,10.0,NetBanking,Pending,2025-01-12,4999.0,4499.1,899.8200000000002,January,2025.0,Sunday
ORD1018,,Amit,amit96@gmail.com,9124086971.0,Mumbai,Maharashtra,Shoes,Fashion,2.0,4999.0,5.0,Wallet,Delivered,,9998.0,9498.1,1899.6200000000001,,,
ORD1019,2025-03-06,Vikas,vikas20@gmail.com,9524467082.0,Bengaluru,Karnataka,Chair,Furniture,3.0,1499.0,0.0,COD,Returned,2025-03-06,4497.0,4497.0,899.4000000000001,March,2025.0,Thursday
ORD1020,2025-03-15,Rahul,rahul90@gmail.com,9106119129.0,Pune,Maharashtra,Watch,Fashion,3.0,999.0,0.0,UPI,Returned,2025-03-15,2997.0,2997.0,599.4,March,2025.0,Saturday
ORD1021,2025-01-27,Priya,priya82@gmail.com,9583849937.0,Pune,Maharashtra,Chair,Furniture,3.0,,5.0,UPI,Cancelled,2025-02-02,,,,January,2025.0,Monday
ORD1023,2025-04-27,Neha,neha70@gmail.com,9133995118.0,Mumbai,Maharashtra,Shoes,Fashion,1.0,499.0,5.0,COD,Pending,2025-01-05,499.0,474.05,94.81,April,2025.0,Sunday
ORD1024,2025-06-29,Rohit,rohit60@gmail.com,9633404088.0,Bengaluru,Karnataka,Mouse,Electronics,3.0,,15.0,Card,Cancelled,2025-08-07,,,,June,2025.0,Sunday
ORD1026,2025-04-05,Sneha,sneha71@gmail.com,9967773139.0,Bengaluru,Karnataka,Bottle,Home,4.0,9999.0,10.0,Wallet,Returned,2025-08-04,39996.0,35996.4,7199.280000000001,April,2025.0,Saturday
ORD1028,2025-06-05,Amit,amit15@gmail.com,9853264878.0,Lucknow,Up,Watch,Fashion,3.0,4999.0,0.0,NetBanking,Cancelled,2025-09-06,14997.0,14997.0,2999.4,June,2025.0,Thursday
ORD1029,2025-02-06,Rahul,rahul82@gmail.com,9689560222.0,Pune,Maharashtra,Bottle,Home,5.0,1499.0,0.0,COD,Delivered,2025-02-06,7495.0,7495.0,1499.0,February,2025.0,Thursday
ORD1030,2025-04-25,Rahul,rahul52@gmail.com,9882683944.0,Mumbai,Maharashtra,Shoes,Fashion,1.0,9999.0,20.0,UPI,Delivered,2025-01-05,9999.0,7999.2,1599.8400000000001,April,2025.0,Friday
ORD1032,2025-04-12,Neha,neha79@gmail.com,9312273373.0,Pune,Maharashtra,Bottle,Home,1.0,499.0,20.0,UPI,Delivered,2025-04-12,499.0,399.2,79.84,April,2025.0,Saturday
ORD1034,2025-05-13,Amit,amit55@gmail.com,9798448836.0,Pune,Maharashtra,Bottle,Home,4.0,4999.0,0.0,NetBanking,Pending,2025-05-13,19996.0,19996.0,3999.2000000000003,May,2025.0,Tuesday
ORD1039,2025-03-20,Rahul,rahul33@gmail.com,9193291098.0,Jaipur,Rajasthan,Laptop,Electronics,1.0,2599.0,15.0,Wallet,Returned,2025-03-20,2599.0,2209.15,441.83000000000004,March,2025.0,Thursday
ORD1040,,Sneha,sneha23@gmail.com,9116124699.0,Delhi,Delhi,Bottle,Home,5.0,1499.0,10.0,Card,Returned,,7495.0,6745.5,1349.1000000000001,,,
ORD1041,2025-06-25,Rahul,rahul11@gmail.com,9940596133.0,Bengaluru,Karnataka,Bottle,Home,5.0,9999.0,0.0,UPI,Returned,2025-06-25,49995.0,49995.0,9999.0,June,2025.0,Wednesday
ORD1042,2025-01-13,Rahul,rahul66@gmail.com,9792040786.0,Mumbai,Maharashtra,Bottle,Home,4.0,,15.0,NetBanking,Delivered,2025-01-13,,,,January,2025.0,Monday
ORD1043,2025-04-16,Rahul,rahul61@gmail.com,9157741059.0,Delhi,Delhi,Laptop,Electronics,2.0,2599.0,5.0,COD,Pending,2025-04-16,5198.0,4938.1,987.6200000000001,April,2025.0,Wednesday
ORD1045,,Priya,priya61@gmail.com,9111524138.0,Bengaluru,Karnataka,Laptop,Electronics,3.0,1499.0,10.0,Wallet,Pending,,4497.0,4047.3,809.46,,,
ORD1047,2025-03-17,Rohit,rohit24@gmail.com,9603990367.0,Jaipur,Rajasthan,Shoes,Fashion,1.0,999.0,20.0,NetBanking,Cancelled,2025-03-17,999.0,799.2,159.84000000000003,March,2025.0,Monday
ORD1049,2025-04-15,Amit,amit42@gmail.com,9533399379.0,Lucknow,Up,Watch,Fashion,5.0,2599.0,0.0,COD,Returned,2025-04-15,12995.0,12995.0,2599.0,April,2025.0,Tuesday
ORD1052,2025-02-25,Sneha,sneha63@gmail.com,9276376917.0,Pune,Maharashtra,Mouse,Electronics,5.0,9999.0,0.0,UPI,Returned,2025-02-03,49995.0,49995.0,9999.0,February,2025.0,Tuesday
ORD1053,2025-05-23,Sneha,sneha39@gmail.com,9432994066.0,Mumbai,Maharashtra,Laptop,Electronics,1.0,1999.0,0.0,COD,Delivered,2025-05-23,1999.0,1999.0,399.8,May,2025.0,Friday
ORD1054,,Sneha,sneha78@gmail.com,9399449203.0,Jaipur,Rajasthan,Laptop,Electronics,2.0,999.0,20.0,NetBanking,Pending,,1998.0,1598.4,319.68000000000006,,,
ORD1056,2025-05-29,Neha,neha98@gmail.com,9481676392.0,Pune,Maharashtra,Chair,Furniture,2.0,9999.0,15.0,COD,Cancelled,2025-05-29,19998.0,16998.3,3399.66,May,2025.0,Thursday
ORD1057,2025-02-03,Rohit,rohit66@gmail.com,9358211659.0,Bengaluru,Karnataka,Chair,Furniture,5.0,1499.0,0.0,Wallet,Pending,2025-06-02,7495.0,7495.0,1499.0,February,2025.0,Monday
ORD1058,2025-02-12,Sneha,sneha17@gmail.com,9581041302.0,Jaipur,Rajasthan,Chair,Furniture,2.0,2599.0,15.0,Card,Cancelled,2025-02-12,5198.0,4418.3,883.6600000000001,February,2025.0,Wednesday
ORD1059,2025-05-07,Vikas,vikas8@gmail.com,9966346542.0,Pune,Maharashtra,Mouse,Electronics,5.0,999.0,0.0,NetBanking,Delivered,2025-05-07,4995.0,4995.0,999.0,May,2025.0,Wednesday
ORD1060,2025-04-09,Rohit,rohit64@gmail.com,9848493769.0,Delhi,Delhi,Laptop,Electronics,5.0,999.0,0.0,COD,Returned,2025-04-09,4995.0,4995.0,999.0,April,2025.0,Wednesday
ORD1061,2025-06-01,Vikas,vikas12@gmail.com,9714988193.0,Jaipur,Rajasthan,Shoes,Fashion,5.0,499.0,10.0,UPI,Cancelled,2025-05-06,2495.0,2245.5,449.1,June,2025.0,Sunday
ORD1064,2025-06-28,Rohit,rohit44@gmail.com,9745435168.0,Lucknow,Up,Bottle,Home,1.0,1999.0,5.0,NetBanking,Cancelled,2025-04-07,1999.0,1899.05,379.81,June,2025.0,Saturday
